dt,tweet,User,local
2020-12-28 18:38:33,How the COVID-19 vaccines from Moderna and Pfizer compare head to head https://t.co/9PvDzroXsw,AMPdrByTAMPInc,"Newark, DE"
2020-12-28 18:38:28,How the COVID-19 vaccines from Moderna and Pfizer compare head to head https://t.co/azUjoYBOkI,TAMPIncAMPdr,Newark Delaware
2020-12-28 18:37:36,"German healthcare workers got accidentally 5 times dose of the Pfizer vaccine. What a surprise, most of them have C… https://t.co/bF04BDFojE",lumidek,"Pilsen, Czechia"
2020-12-28 18:36:39,Pfizer delays COVID-19 vaccine deliveries due to temperature control issues https://t.co/s9i8Pb35zq,JudgementalBsC,
2020-12-28 18:36:33,"I got the Pfizer covid shot to do my part, not that anyone gives a rats ass.",TonyLamarDavis,"Antifa, Michigan, USA"
2020-12-28 18:35:02,Pfizer Stock Was a Long-Term Play Before Covid and Will Stay One After https://t.co/GPrSmZ79uG,TofuFinance,Canada
2020-12-28 18:34:34,#Covid19Vaccine: @pfizer delays #vaccine deliveries to 8 #EU nations: #Spain  https://t.co/6KZVgJUlXm https://t.co/1MjiRDOIto,CBNews_online,United State of America
2020-12-28 18:34:32,"I think this disproportionate access is happening in the Seattle medical community, too. Vaccine’s unbalanced rollo… https://t.co/oEGjuGiTnS",odaraia,Salish Sea
2020-12-28 18:34:18,Why is the covid vaccine delivery so limited in Ireland. Are we unable to  handle the pfizer one properly so we're… https://t.co/uZDAYxI3jO,crinklecutchips,Microscopiccog Dublin Ireland
2020-12-28 18:33:44,Pfizer COVID vaccine trial shows alarming evidence of pathogenic priming in older adults | Opinion | LifeSite https://t.co/aqmH4GEuPT,BabyCowPatriot,"Manchester, England UK"
2020-12-28 18:33:20,"So, the #vaccine doesn't stop you from getting Covid, makes you more asymptomatic only? Then, why are you so worrie… https://t.co/Foj65nQRYj",PrezElektra,Nazi Reich Ontario
2020-12-28 18:32:49,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized ... Source: Russia Today https://t.co/jx1VQD2UGz",TheTop10News2,
2020-12-28 18:32:07,Pfizer-BioNTech vaccine delivery to Spain delayed https://t.co/le0QwHhubb via @daily_states  #COVID #COVID19… https://t.co/fuJ7038FEe,daily_states,New York
2020-12-28 18:31:53,"@RealCandaceO MODERNA or PFIZER VAX? Man, so hard to choose...  MODERNA &amp; THEIR BILLIONAIRE CEO… https://t.co/EwOK3a7A8B",JorJorWell,
2020-12-28 18:30:54,I don't understand how the Welsh government continues to mishandle the pandemic. @WelshLabour is not only putting i… https://t.co/KiYyOPv4Gh,NatHall4684,
2020-12-28 18:30:11,Great read &gt; How @ChrstnKlein's reboot of @SAP's #strategy is working out  https://t.co/w8xwZEWafn,JillPopelka,Dallas/Fort Worth Area
2020-12-28 18:30:00,Very interesting read on reverse-engineering the BioNTech/Pfizer Covid Vaccine. Refreshed a lot of RNA sequencing c… https://t.co/HAoBvqgsXE,sanchayjaveria,"San Francisco, CA"
2020-12-28 18:29:47,How the Pfizer-BioNTech Vaccine Works https://t.co/wiNqd6JB90,nicoschoofs,Gent - Belgium
2020-12-28 18:29:40,Pfizer to complete supply of COVID-19 vaccines to EU by September https://t.co/9zYDmnkqiN,shehzadyounis,Thinkstan
2020-12-28 18:29:13,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symptoms -… https://t.co/fS3qWBwQMg",philosopherssto,selected views from the boat
2020-12-28 18:29:10,"2 more days until I get the first dose of the COVID-19 Pfizer vaccine! I'm a little nervous but glad to do my part,… https://t.co/LeatIpYioF",devontheclouds,This is America
2020-12-28 18:27:27,Pfizer's COVID-19 Vaccine Was Designed In Just Few Hours Says BioNTech Co-founder Dr Ugur Sahin | GreatGameIndia - https://t.co/MSodmmy7vk,akbondservant,Planet Earth
2020-12-28 18:27:27,Pfizer's COVID-19 Vaccine Was Designed In Just Few Hours Says BioNTech Co-founder Dr Ugur Sahin | GreatGameIndia - https://t.co/VtjuOy4bTu,LimelightFlash,Alaska
2020-12-28 18:27:26,Pfizer's COVID-19 Vaccine Was Designed In Just Few Hours Says BioNTech Co-founder Dr Ugur Sahin | GreatGameIndia - https://t.co/SVxReypCGP,GodBlessInHim,"Anchorage, Ak"
2020-12-28 18:27:25,Pfizer's COVID-19 Vaccine Was Designed In Just Few Hours Says BioNTech Co-founder Dr Ugur Sahin | GreatGameIndia - https://t.co/XlgNSqT1K3,TroubledDays,"Alaska, USA"
2020-12-28 18:26:24,@Thomas85983849 @stevehorton4192 @GovAndyBeshear @KYSecState @KyAuditorHarmon False. 1. https://t.co/znQLA10BSI 2.… https://t.co/QJEx0EwUJr,oxfordcommabro,"Kentucky, USA"
2020-12-28 18:25:57,"@AwakenedOutlaw @Racharley77 Also the Pfizer vaccine doesn’t “manipulate your DNA”, it doesn’t interact with your D… https://t.co/XxIgISZalz",Sheebie_Geebies,
2020-12-28 18:24:04,"The candidate made by Novavax Inc. is the fifth to reach final-stage testing in the U.S. Some 30,000 volunteers are… https://t.co/HTa2K3SMTG",WHIMAHIM,"Wisconsin, USA"
2020-12-28 18:23:21,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symptoms https://t.co/1P5Y3LRgTx",shehzadyounis,Thinkstan
2020-12-28 18:23:03,"Jordan To Get One Million Pfizer COVID-19 Vaccine Doses, Says Health Minister https://t.co/fTh88gRaKj https://t.co/bM8XcTekYf",OnwardNG,onwardng@gmail.com
2020-12-28 18:21:25,"A further 1,034 front-line health care workers received the first dose of the Pfizer-BioNTech vaccine. https://t.co/xaciK175Mm",973thewavenews,"Saint John, N.B."
2020-12-28 18:21:19,This story of Katalin Karikó is immensely incredible. Katalin is the biochemist whose years of research has led to… https://t.co/iROk3Bgpdy,reubenmuhindi,Global citizen 
2020-12-28 18:21:05,PolitiFact - How Pfizer's and Moderna's COVID-19 vaccines are tied to Operation Warp Speed https://t.co/ZEsUvxt6mi,jojo1204,United States
2020-12-28 18:20:46,"A further 1,034 front-line health care workers received the first dose of the Pfizer-BioNTech vaccine. https://t.co/5H0Ak3gMPR",981news,"St. Stephen, N.B."
2020-12-28 18:20:04,☀ Nearly 4 in 10 Americans do not want to take the Covid vaccine. HHS is planning to spend $ #BreakingNews #cnbc… https://t.co/20jonTRskL,GoodVibra,World
2020-12-28 18:20:02,"A further 1,034 front-line health care workers received the first dose of the Pfizer-BioNTech vaccine. https://t.co/vyOVwooy1c",chsjnews,"Saint John, N.B."
2020-12-28 18:20:00,Today @DrOz I Was Injected: Volunteers Who Were Part Of The Trial For The New Pfizer COVID-19 Vaccine Speak Out at… https://t.co/ac5X3oBdRM,WISN12News,"Milwaukee, WI"
2020-12-28 18:19:36,"@ianpaynesport @LBC , the manufacturer has said itself it doesn't stop infection. It reduces effects of covid. Like… https://t.co/HeyiU6Nsbn",JimmyCardiff,"Cardiff, Wales"
2020-12-28 18:19:14,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symptoms.… https://t.co/ulLf2JMOvU",glenave123,"Mayo, Ireland"
2020-12-28 18:19:07,The Covid-19 vaccine is here. I´m very grateful. What next? Will I live long enough to experience a life without pa… https://t.co/2zHgV8pOGj,SWA66706602,Moriarty NM USA and Germany
2020-12-28 18:19:00,"By the end of the week, state leadership says the North Country will have received a combination of more than 21,80… https://t.co/IXBZvszLfk",MyNBC5,Burlington • Plattsburgh
2020-12-28 18:18:36,"Nurse Elena Betti reacts after receiving the Pfizer-BioNTech COVID-19 vaccine at the Careggi hospital in Florence,… https://t.co/QNUxELd6Kc",reuterspictures,Global
2020-12-28 18:17:30,Is Pfizer Stock A Buy On A New U.S. Supply Deal For Covid Vaccine? https://t.co/LPzJij49jh,ValenzuelaPost,"Toronto, Ontario"
2020-12-28 18:17:20,#Lebanon is set to receive the first of several shipments of the #Covid_19 vaccine in mid-February from Pfizer.   V… https://t.co/kZy8FwXPES,chehayebk,"Beirut, Lebanon"
2020-12-28 18:17:06,Pfizer to complete supply of COVID-19 vaccines to EU by September - Reuters UK https://t.co/QSxc2tgiut,magicdmw,London
2020-12-28 18:15:49,"@david_david1968 @Sanguiwu3 the problem is, if this is true and pfizer knows there is HIV in Covid, then what that means?",SirHPearce,
2020-12-28 18:15:42,@realDonaldTrump I want to hear PFIZER to say that it doesn't cure or vaccinate another COVID to CORONA or started… https://t.co/0kuVGmAMZj,Charles27116700,
2020-12-28 18:15:22,@udogumpel @carloalberto @nytimes @jasondhorowitz @RobertoBurioni @gloquenzi @lucianocapone I MIRACOLI...!… https://t.co/4VMec9Qa7c,Giovanni1946861,
2020-12-28 18:15:10,@SamGuichelaar @disclosetv Pfizer CEO Albert Bourla to NBC News “not certain” if those who receive the vaccine will… https://t.co/N4QgYHwKRT,NewMumOnline,"Bristol, England"
2020-12-28 18:13:45,"Dear Science,  I trusted you today.  I did it for my family. I did it for my patients.  I did it #ForTheCulture  Mo… https://t.co/w9KPD5NeeU",DrRianCharles,"Hanover, NH"
2020-12-28 18:13:43,"What? Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symp… https://t.co/lQHaRw9u8K",Politisite,"South Carolina, USA"
2020-12-28 18:13:28,Really good to see some Welsh journalists keeping an 👀 on this important stat 👏🏻👏🏻👏🏻 ⁦@WillHayCardiff⁩  https://t.co/HMgeeJZAUD,tonyonthephone,
2020-12-28 18:13:15,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symptoms https://t.co/6NTQ0Qsg6m",politicalHEDGE,Everywhere
2020-12-28 18:11:21,Nurse who fainted after getting Pfizer/BioNTech COVID-19 vaccine has a history of fainting episodes; does not mean… https://t.co/ZSc257qCQS,shirleyjcarter7,
2020-12-28 18:10:13,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symptoms https://t.co/K1ZTmtKi25",shana2727,"Sydney, Australia"
2020-12-28 18:10:03,Germany’s Covid-19 vaccination campaign has been overshadowed by a mishap in the north where eight workers in an el… https://t.co/p5yddq8E7c,IndiaToday,India
2020-12-28 18:08:04,First post in forever but this NP is so excited....   Thanks Santa... Pfizer BioNTech COVID 19 Vaccine dose # 1 ...… https://t.co/ZDAG0YWtod,GinaDico,New Jersey
2020-12-28 18:07:43,"So what if it says you shouldn't have unprotected sex 1 month after COVID vaccine. Pfizer says Viagra can kill u, &amp;… https://t.co/jc4cNJWGf4",EliottScribbles,"New Orleans, LA"
2020-12-28 18:07:15,"""Now, BioNTech is a household name, following reports last month that the mRNA Covid-19 vaccine it has co-developed… https://t.co/indwuA08ek",lizkineke,"New York, NY "
2020-12-28 18:06:34,"@sasquatchalien @_Leeks_ @bradhoylman Save the Date: 1/13/21, NYC, Demonstration against forced Covid-19 at Pfizer'… https://t.co/vrUp5dZNRI",AntiGtes,
2020-12-28 18:06:31,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symptomsht… https://t.co/pqauoTgd6x",Dakkar_P,Atlantic
2020-12-28 18:06:22,#VaccineDay @RanchoRehab! Grateful and happy to have the opportunity to receive dose #1 of the COVID vaccine today!… https://t.co/rsd8zUExSl,lilstime,
2020-12-28 18:05:55,.... but the company insists the megadose is safe. *** Eight German care home employees jabbed with 5 TIMES Pfizer… https://t.co/zVwdjg9khi,TribulationNow,
2020-12-28 20:00:14,"As Pfizer's first COVID-19 vaccine doses roll across the U.S., analysts size up the hurdles ahead… https://t.co/dih6A5pvq2",Geovax_News,"Atlanta, Georgia"
2020-12-28 20:00:00,FRIDAY: Catch CEO @AlbertBourla discussing @pfizer’s 8-month journey to a COVID vaccine.  “I think the speed with w… https://t.co/hdgiBNJ5AB,FiringLineShow,
2020-12-28 20:00:00,@OverlakeHMC received the first of its Pfizer COVID-19 vaccinations last week and began the inoculation of over 170… https://t.co/t9jxOxCjQT,425Magazine,"Bellevue, WA"
2020-12-28 19:59:18,Berlin had signed a separate deal for 30 million extra doses of the Pfizer vaccine. https://t.co/IjtotbE0Rw,Therainmaker13,"Sofia, Bulgaria"
2020-12-28 19:58:21,"#FDA 's Doctor P Marks @petermarksdrama admits that more people, about 1 in 7, could have severe reactions to  BOTH… https://t.co/dzIhXv5rQb",WoehKathryn,Kingdom of God
2020-12-28 19:58:11,What would you name a cure for an epidemic? COMIRNATY! (because it sounds like community and has CO and mRNA in it)… https://t.co/Bs79VSdfjH,_pitscher,
2020-12-28 19:57:53,@Milhouse_Van_Ho @BogochIsaac He's also straight up lying in that podcast when he says the vast majority of healthc… https://t.co/d7oSu6gaig,KoenSwinkels,
2020-12-28 19:56:30,"56 Paterson New Jersey EMT's got the coronavirus jab https://t.co/DSiJoQoLj5  Paterson, NJ = 42 Sandra = 42 Lindsay… https://t.co/uAikQ10PW1",WarrenKembel,
2020-12-28 19:56:27,@VictorB123 @NyxdoIl_i4oo @SaltyBlackBroad https://t.co/LZ5uE2COmh  Then UK govt even tell us it’s “unknown” whethe… https://t.co/xYsquKdysv,dt4808,
2020-12-28 19:55:09,All I got was a mild headache from my covid-19 Pfizer vaccine. VACCINATE YOUR GRIMY ASS,srhburner,Arizona
2020-12-28 19:55:03,Pfizer to complete supply of COVID-19 vaccines to EU by September https://t.co/bYwzbonzPh via @YahooNews,KatieWalpole,@ClarkCountyNV via LDN & SYR
2020-12-28 19:54:47,"@bnelson44 Good question. The Pfizer vaccine, which is used at our PODs, requires two doses. This post refers to he… https://t.co/x3KMwmaWGg",Maricopahealth,"Maricopa County, Ariz."
2020-12-28 19:53:53,#Iran insists about to produce its own Covid 19 vax. Its minions like #Lebanon Nasrallah says won't vax altogether.… https://t.co/A5F9qOi9kv,hahussain,"Washington, DC"
2020-12-28 19:50:39,"The candidate made by Novavax Inc. is the fifth to reach final-stage testing in the U.S. Some 30,000 volunteers are… https://t.co/eQ4DemzJjH",FOX26Houston,"Houston, Texas"
2020-12-28 19:49:26,#Lebanon #Beirut #Coronavirus #VACCINE  Lebanon has obtained almost 2 million doses of the COVID-19 vaccine from Pf… https://t.co/kbA3RJv3NJ,Xy5Z89,"Deutschland, EU "
2020-12-28 19:48:13,"1) ""It is not just growing US mistrust in the covid injection effort that was rolled out in record time: an unexpec… https://t.co/dK5OZJeYUr",BalchenJon,
2020-12-28 19:48:11,The unapproved Pfizer #Covid #vaccine includes in their information that (both male &amp; female) must not participate… https://t.co/TPPhkuti9w,SilentAsThunder,United States
2020-12-28 19:47:24,@LDRJezHemming @RogerPinney @BetsiCadwaladr This was posted yesterday...  https://t.co/1gQJeYzGsi,gerainted,North Wales
2020-12-28 19:46:49,$PFE Pfizer to complete supply of COVID-19 vaccines to EU by September https://t.co/m3dtDQiTMI,HenryHimmler1,"Bremerhaven, Germany"
2020-12-28 19:46:39,Ex Pfizer VP Dr. Michael Yeadon explains no COVID vaccine needed. The pa... https://t.co/UcAs0275N9 via @YouTube,classical_lib,U.S.A.
2020-12-28 19:45:35,@CadiKeuyFC @Reuters It wasn’t diluted properly.   Dilution Dilute the vial contents using 1.8 mL of 0.9% Sodium Ch… https://t.co/y9ROAUmHGu,Becka1955,United States
2020-12-28 19:44:19,Most EU countries began inoculating healthcare workers with the Pfizer vaccine https://t.co/WRlYRFc1ZH,TheStarKenya,Kenya
2020-12-28 19:43:25,"@CliffSecord2 @thrstlnd @Drestradamus Then by all means get it. I won’t stop you. Just do some more research. Here,… https://t.co/wtbJIayBXC",NatalieRN3,"Georgia, USA"
2020-12-28 19:42:46,@416ash @DrKateJMiller @kirstinestewart @jkwan_md @fordnation Pfizer Vaccines arrived in #ON #QC Sun pm &amp; 1st Immun… https://t.co/EOtDkqyiPs,HopeAldridge,
2020-12-28 19:41:50,There has been observation of a few new side effects of #Pfizer covid shot. Bold people rejoice salvation is at han… https://t.co/9Z8a7NpiY0,halfofsathosi,Blockchain
2020-12-28 19:39:24,"Early Sunday, dozens of minivans carrying coolers filled with dry ice to keep the doses of the Pfizer-BioNTech vacc… https://t.co/MLzQRugS83",kellymnyc,NYC
2020-12-28 19:39:08,'Let's get vaccinated': #Europe rolls out #Covid19 #vaccine – #video report https://t.co/A5nLXT7dpk #health… https://t.co/2PmYxkypzV,Karamarkos,"Melbourne, Victoria"
2020-12-28 19:38:54,5 Questions Fauci and FDA Need to Answer on Pfizer and Moderna COVID Vaccines https://t.co/1IbyXNPbbS,Ana06045427,
2020-12-28 19:38:20,Just got word that my first dose of the Pfizer COVID-19 vaccine will be in 7 days. A very small step in the directi… https://t.co/m7FsWk4mA1,joedouglasxxx,"Missouri, USA"
2020-12-28 19:36:03,Billionaire CEO of German biotech firm BioNTech (which partnered with Pfizer in developing the coronavirus vaccine)… https://t.co/fZOWCwtkFE,ai_jared,you waste of space
2020-12-28 19:35:56,@IRCGOV what is availability looking like for covid vaccines for those 65+? Pfizer has been out a couple weeks and… https://t.co/APvmNy19I7,neothin,"Orlando, FL"
2020-12-28 19:35:00,Thinking about how Trump denied an extra 100 million vaccine doses from Pfizer this summer. Everyone who has had th… https://t.co/mg1T6KEGtQ,Meidas_UW,
2020-12-28 19:34:47,President of South Africa @CyrilRamaphosa vies w. Premier of Victoria @DanielAndrewsMP for Top Spot Tyrant as  Batt… https://t.co/UWBStKP7pn,EccEveryday,Online
2020-12-28 19:34:27,"""COVID-19 vaccines lack ‘African input,’ cannot be given to Nigerians"" -Nigeria Medical Association.  Pfizer/BioNte… https://t.co/roxlhVw18H",LRNZH,
2020-12-28 19:33:54,What it's like to get the COVID vaccine (Pfizer BioNTech)  https://t.co/4OH8yyWdMn,leifpettersen,Minneapolis
2020-12-28 19:32:41,@ProfDanBear @imgrund Ont doesn’t have 90K doses. Can received 168K of Pfizer vaccine for entire country. Half with… https://t.co/vkvEv04m2e,RChilderhose,Mississauga
2020-12-28 19:30:32,"@zerohedge    https://t.co/EEmeHBqbgz   Trump's vaccine czar, told CNN that given the 95% efficacy level of Pfizer’… https://t.co/OeBqFqVTVC",MKucala,Chicago (The Loop)
2020-12-28 19:30:15,Pfizer And Moderna Can't Be Sued For Covid Vaccine Side Effects,WRadigo,"Nairobi, Kenya"
2020-12-28 19:29:58,"@hfr_investments    https://t.co/EEmeHBqbgz   Trump's vaccine czar, told CNN that given the 95% efficacy level of P… https://t.co/C8qaVZaH8c",MKucala,Chicago (The Loop)
2020-12-28 19:29:26,.@DrNunezSmith: The Biden-Harris Administration will make equity a priority in vaccine access. Communities that hav… https://t.co/R6V6c0Fx4V,Kat4Obama,"Washington State, USA"
2020-12-28 19:29:01,"Pharma cold chain spend heats up, with a trend toward temperature-tracking sensors reports @scdive. #pharma… https://t.co/nX3y3z6KAu",DBSchenkerUSA,"Chesapeake, VA"
2020-12-28 19:29:00,Pfizer to complete supply of COVID-19 vaccines to EU by September https://t.co/Ss4r1F0Ijq,USITA_forum,"Washington, DC"
2020-12-28 19:28:59,@ConceptualJames Pfizer already said their vaccine doesn't stop you getting it or transmitting it and you still hav… https://t.co/4AuGMRcP48,_Edwoods_,
2020-12-28 19:28:31,@KarynEllisSkip @matthewlesh @clairlemon Did you try to inform yourself of other views? Or are you of the opinion t… https://t.co/0WkSLoHpGO,AStullkowski,
2020-12-28 19:28:18,"By September of 2021, COVID-19 vaccines provided by Pfizer are expected to be distributed throughout Europe. https://t.co/6MCGMootWl",Senergene_LLC,"Princeton, NJ"
2020-12-28 19:27:26,@Iamnotabot69696 @dshypnotist @ulsterchelsea @FriendMasters @SkyNewsBreak Do you know how much money Pfizer pay out… https://t.co/sEgLJLWZyQ,PaschaOrtu,Brave New World
2020-12-28 19:27:23,"@NHSuk The data shows it doesnt stop you catching Covid, doesnt stop you spreading covid to others and Pfizer has s… https://t.co/uVf9HReQIv",DarwenDog,"Darwen, UK"
2020-12-28 19:26:59,Well I guess they figured out what's in it LOLOL https://t.co/m27IcBmhWd,lafemmefollette,Northeast Corridor
2020-12-28 19:25:32,"in israel, the conservatives are the 'take covid super seriously' party. very early on bibi negotiated with pfizer… https://t.co/zahmvdIwAC",youneedabath,nj/ny
2020-12-28 19:25:27,@laurchristine1 @JoeSilverman7 @JesseKellyDC 90-95% in preventing symptoms. Pfizer hasn't released data on reducing… https://t.co/R4nS7vLU6g,RichmondWahoo,"Chesterfield, VA"
2020-12-28 19:25:17,Pfizer to complete supply of COVID-19 vaccines to EU by September https://t.co/wrtxw5g5IW,thetrooper9220,https://youtu.be/IrwdjrtNkuw
2020-12-28 19:25:10,"https://t.co/EEmeHBqbgz   Trump's vaccine czar, told CNN that given the 95% efficacy level of Pfizer’s &amp; Moderna va… https://t.co/IRQyWmlhMx",MKucala,Chicago (The Loop)
2020-12-28 19:24:46,""" On Thursday, the Department of Health said that more than 600,000 people in the UK had received the first dose of… https://t.co/PXsatJlfyW",glove_pet,"Under the dryer,South Coast UK"
2020-12-28 19:24:43,"Eight German care home employees jabbed with 5 TIMES Pfizer vaccine dose, 4 hospitalized with Covid-like symptoms… https://t.co/yEYndTx6wT",BLOWFELD7,
2020-12-28 19:24:21,"If the UK strain of Covid different from the current US strain, why are they administering the Moderna, Pfizer etc… https://t.co/AAJiIYL8L2",teenytinytrout,"Ontario, Canada"
2020-12-28 19:24:14,@Quasselkasper1 @TeriMKelley @Cleavon_MD It would take a seriously huge narrow ignorant mind to deny the vaccines e… https://t.co/VINvWzHTVR,bennyboy51773,Seattle 
2020-12-28 19:21:38,The ultra-cold temperatures needed for Pfizer’s vaccine complicate the shipping process: Vials must be packed in fr… https://t.co/gX90QoKL2g,latimes,"El Segundo, CA"
